iter	RMSE
0	0.05866427496
1	0.05703478563
2	0.05550435269
3	0.05411221134
4	0.05268165334
5	0.05122252379
6	0.04976641389
7	0.04836299372
8	0.046996882
9	0.04573885642
10	0.04444706656
11	0.04318956721
12	0.04210072765
13	0.04101652761
14	0.03996918223
15	0.03889430723
16	0.03795579693
17	0.03699401993
18	0.03601782199
19	0.03507278294
20	0.0341670674
21	0.03325871142
22	0.03243656948
23	0.03171956557
24	0.03105208228
25	0.03032429672
26	0.02966153177
27	0.02895141847
28	0.02825666339
29	0.02760627514
30	0.02697868553
31	0.02634614645
32	0.02572168737
33	0.02512828716
34	0.02455637322
35	0.0239800908
36	0.02348092439
37	0.02296892873
38	0.02247770126
39	0.02201878191
40	0.02154981411
41	0.02109427712
42	0.02069095376
43	0.02028229565
44	0.01987624368
45	0.01945984564
46	0.01908270282
47	0.01872436059
48	0.01841093105
49	0.01805988963
50	0.01773279472
51	0.01743083545
52	0.01717487846
53	0.01689583933
54	0.01664044047
55	0.01634785023
56	0.01605963343
57	0.01580088341
58	0.01553858549
59	0.01528916499
60	0.01505885822
61	0.01484023691
62	0.01463571371
63	0.01442092283
64	0.01421956897
65	0.01405275193
66	0.01387779912
67	0.01368693988
68	0.01351016299
69	0.01335355011
70	0.01320856943
71	0.01304457714
72	0.01287543052
73	0.012729383
74	0.0126016468
75	0.01246418644
76	0.01233443287
77	0.01219753446
78	0.01206701522
79	0.01194058608
80	0.01183544337
81	0.01172901807
82	0.01162476858
83	0.01152810461
84	0.01142211722
85	0.0113231325
86	0.0112244899
87	0.01113292578
88	0.01103714161
89	0.01093077262
90	0.01084610244
91	0.01072726709
92	0.01065197288
93	0.01057429251
94	0.01048442714
95	0.01040903441
96	0.0103091546
97	0.01023763906
98	0.01015647653
99	0.01008109034
100	0.01001988218
101	0.009951568365
102	0.009890702113
103	0.009830272516
104	0.009784526346
105	0.009715071167
106	0.009651838588
107	0.009587692935
108	0.009530899599
109	0.009458435197
110	0.009396658029
111	0.009328653436
112	0.009267375327
113	0.009207135533
114	0.009145061795
115	0.009099262344
116	0.009049343204
117	0.00899663837
118	0.008943049166
119	0.008898889314
120	0.008855233884
121	0.008810521578
122	0.008777946454
123	0.008739285108
124	0.008694467851
125	0.008666532473
126	0.008621597632
127	0.008583730702
128	0.008528582358
129	0.008486493172
130	0.008450664389
131	0.008406613436
132	0.008359333193
133	0.008319316485
134	0.008272909276
135	0.008226064237
136	0.008174027026
137	0.008151827266
138	0.0081166779
139	0.008071309216
140	0.008028003227
141	0.007978837223
142	0.007939186281
143	0.007892800749
144	0.007854720806
145	0.007832713713
146	0.007789291487
147	0.007750914503
148	0.007722357545
149	0.007697004342
150	0.007672771093
151	0.007633887214
152	0.007596674368
153	0.007575276056
154	0.007540258054
155	0.007507369471
156	0.007481671629
157	0.007456749372
158	0.007431228146
159	0.00740583538
160	0.007378492841
161	0.007361372481
162	0.007329427852
163	0.007293619098
164	0.007251270725
165	0.007224286781
166	0.007198058759
167	0.007170731547
168	0.007140095272
169	0.007112301762
170	0.007072060233
171	0.007037676688
172	0.007019102922
173	0.006995237689
174	0.006953655719
175	0.006921302514
176	0.00688543403
177	0.006852768309
178	0.006831737226
179	0.006808929331
180	0.006790618274
181	0.006757112058
182	0.006741526144
183	0.006706169464
184	0.006695394554
185	0.006671096672
186	0.006649580872
187	0.006640207658
188	0.006616143239
189	0.006596450461
190	0.006566904977
191	0.006526771084
192	0.006507710421
193	0.006483600134
194	0.006461640581
195	0.0064513337
196	0.006417292148
197	0.006402458626
198	0.006369786228
199	0.006349986707
200	0.006317914233
201	0.006298563175
202	0.006270097491
203	0.006262447697
204	0.006246605574
205	0.006213794803
206	0.006186561728
207	0.006179814052
208	0.006152409005
209	0.006125659745
210	0.006103800773
211	0.006097983469
212	0.006072489808
213	0.006058641102
214	0.006026608407
215	0.005994746097
216	0.00598281598
217	0.005978942335
218	0.00595039211
219	0.005928611511
220	0.005924459221
221	0.005898962271
222	0.005895264021
223	0.005870987852
224	0.005837282051
225	0.005823403329
226	0.005809465507
227	0.00578221588
228	0.005777494444
229	0.005751258816
230	0.005747405658
231	0.005732348293
232	0.005710172111
233	0.005693968191
234	0.005659556556
235	0.005630841995
236	0.005598491133
237	0.0055886694
238	0.005555433529
239	0.005526389445
240	0.005507137853
241	0.005486726007
242	0.005461393517
243	0.005435765311
244	0.005420102771
245	0.005392715201
246	0.005380243023
247	0.005356777224
248	0.005353812014
249	0.005335078247
250	0.005310490331
251	0.005287046522
252	0.005264752209
253	0.005242013287
254	0.005223500252
255	0.005220831768
256	0.005201550784
257	0.005185218154
258	0.005173082611
259	0.00516387495
260	0.005133707031
261	0.005112688843
262	0.005092106295
263	0.00507279956
264	0.005044093836
265	0.005020090411
266	0.005006193072
267	0.004986873748
268	0.00495119016
269	0.004924665655
270	0.00490878717
271	0.004903041447
272	0.004888979702
273	0.004869815198
274	0.004856782452
275	0.004844318066
276	0.004841005261
277	0.004837531185
